State,Year,Shootings
California,1970,1
California,1971,1
California,1972,2
California,1973,4
California,1974,5
California,1975,1
California,1976,0
California,1977,1
California,1978,1
California,1979,2
California,1980,1
California,1981,1
California,1982,0
California,1983,2
California,1984,2
California,1985,0
California,1986,4
California,1987,2
California,1988,1
California,1989,3
California,1990,1
California,1991,6
California,1992,5
California,1993,6
California,1994,7
California,1995,2
California,1996,6
California,1997,5
California,1998,5
California,1999,2
California,2000,4
California,2001,7
California,2002,3
California,2003,2
California,2004,7
California,2005,4
California,2006,4
California,2007,5
California,2008,12
California,2009,5
California,2010,3
California,2011,2
California,2012,0
California,2013,4
California,2014,1
California,2015,1
California,2016,1
California,2017,5
California,2018,2
California,2019,1
Florida,1970,2
Florida,1971,0
Florida,1972,1
Florida,1973,0
Florida,1974,1
Florida,1975,0
Florida,1976,2
Florida,1977,2
Florida,1978,0
Florida,1979,1
Florida,1980,1
Florida,1981,2
Florida,1982,1
Florida,1983,2
Florida,1984,0
Florida,1985,1
Florida,1986,1
Florida,1987,3
Florida,1988,6
Florida,1989,0
Florida,1990,0
Florida,1991,0
Florida,1992,1
Florida,1993,1
Florida,1994,1
Florida,1995,5
Florida,1996,0
Florida,1997,5
Florida,1998,4
Florida,1999,1
Florida,2000,3
Florida,2001,0
Florida,2002,0
Florida,2003,1
Florida,2004,2
Florida,2005,3
Florida,2006,3
Florida,2007,2
Florida,2008,2
Florida,2009,1
Florida,2010,0
Florida,2011,1
Florida,2012,1
Florida,2013,5
Florida,2014,4
Florida,2015,4
Florida,2016,2
Florida,2017,1
Florida,2018,6
Florida,2019,0
Georgia,1970,0
Georgia,1971,0
Georgia,1972,0
Georgia,1973,0
Georgia,1974,0
Georgia,1975,1
Georgia,1976,0
Georgia,1977,0
Georgia,1978,0
Georgia,1979,0
Georgia,1980,0
Georgia,1981,0
Georgia,1982,1
Georgia,1983,0
Georgia,1984,0
Georgia,1985,0
Georgia,1986,1
Georgia,1987,0
Georgia,1988,1
Georgia,1989,0
Georgia,1990,0
Georgia,1991,0
Georgia,1992,0
Georgia,1993,4
Georgia,1994,1
Georgia,1995,0
Georgia,1996,2
Georgia,1997,0
Georgia,1998,0
Georgia,1999,4
Georgia,2000,1
Georgia,2001,0
Georgia,2002,0
Georgia,2003,0
Georgia,2004,0
Georgia,2005,2
Georgia,2006,2
Georgia,2007,1
Georgia,2008,1
Georgia,2009,0
Georgia,2010,0
Georgia,2011,0
Georgia,2012,1
Georgia,2013,4
Georgia,2014,2
Georgia,2015,3
Georgia,2016,1
Georgia,2017,3
Georgia,2018,4
Georgia,2019,1
Illinois,1970,1
Illinois,1971,0
Illinois,1972,2
Illinois,1973,2
Illinois,1974,1
Illinois,1975,1
Illinois,1976,0
Illinois,1977,4
Illinois,1978,1
Illinois,1979,0
Illinois,1980,0
Illinois,1981,0
Illinois,1982,0
Illinois,1983,3
Illinois,1984,0
Illinois,1985,0
Illinois,1986,1
Illinois,1987,3
Illinois,1988,3
Illinois,1989,0
Illinois,1990,0
Illinois,1991,1
Illinois,1992,4
Illinois,1993,4
Illinois,1994,1
Illinois,1995,0
Illinois,1996,0
Illinois,1997,0
Illinois,1998,0
Illinois,1999,2
Illinois,2000,1
Illinois,2001,0
Illinois,2002,2
Illinois,2003,2
Illinois,2004,1
Illinois,2005,4
Illinois,2006,1
Illinois,2007,3
Illinois,2008,0
Illinois,2009,4
Illinois,2010,0
Illinois,2011,0
Illinois,2012,2
Illinois,2013,1
Illinois,2014,1
Illinois,2015,0
Illinois,2016,2
Illinois,2017,2
Illinois,2018,3
Illinois,2019,0
Michigan,1970,1
Michigan,1971,1
Michigan,1972,2
Michigan,1973,0
Michigan,1974,0
Michigan,1975,1
Michigan,1976,2
Michigan,1977,0
Michigan,1978,2
Michigan,1979,0
Michigan,1980,0
Michigan,1981,0
Michigan,1982,2
Michigan,1983,2
Michigan,1984,4
Michigan,1985,1
Michigan,1986,0
Michigan,1987,3
Michigan,1988,3
Michigan,1989,0
Michigan,1990,0
Michigan,1991,0
Michigan,1992,3
Michigan,1993,1
Michigan,1994,1
Michigan,1995,1
Michigan,1996,0
Michigan,1997,1
Michigan,1998,2
Michigan,1999,0
Michigan,2000,1
Michigan,2001,2
Michigan,2002,1
Michigan,2003,0
Michigan,2004,0
Michigan,2005,4
Michigan,2006,2
Michigan,2007,3
Michigan,2008,1
Michigan,2009,2
Michigan,2010,1
Michigan,2011,1
Michigan,2012,0
Michigan,2013,3
Michigan,2014,2
Michigan,2015,1
Michigan,2016,3
Michigan,2017,2
Michigan,2018,5
Michigan,2019,0
New York,1970,2
New York,1971,0
New York,1972,0
New York,1973,0
New York,1974,1
New York,1975,1
New York,1976,0
New York,1977,1
New York,1978,1
New York,1979,0
New York,1980,1
New York,1981,2
New York,1982,1
New York,1983,1
New York,1984,0
New York,1985,0
New York,1986,0
New York,1987,3
New York,1988,1
New York,1989,1
New York,1990,1
New York,1991,2
New York,1992,3
New York,1993,3
New York,1994,1
New York,1995,1
New York,1996,0
New York,1997,2
New York,1998,2
New York,1999,1
New York,2000,0
New York,2001,0
New York,2002,1
New York,2003,0
New York,2004,1
New York,2005,4
New York,2006,2
New York,2007,1
New York,2008,1
New York,2009,2
New York,2010,0
New York,2011,0
New York,2012,0
New York,2013,0
New York,2014,0
New York,2015,0
New York,2016,0
New York,2017,0
New York,2018,3
New York,2019,0
Pennsylvania,1970,0
Pennsylvania,1971,4
Pennsylvania,1972,0
Pennsylvania,1973,0
Pennsylvania,1974,0
Pennsylvania,1975,0
Pennsylvania,1976,0
Pennsylvania,1977,0
Pennsylvania,1978,1
Pennsylvania,1979,1
Pennsylvania,1980,0
Pennsylvania,1981,1
Pennsylvania,1982,0
Pennsylvania,1983,1
Pennsylvania,1984,0
Pennsylvania,1985,1
Pennsylvania,1986,0
Pennsylvania,1987,0
Pennsylvania,1988,2
Pennsylvania,1989,1
Pennsylvania,1990,0
Pennsylvania,1991,0
Pennsylvania,1992,0
Pennsylvania,1993,1
Pennsylvania,1994,1
Pennsylvania,1995,0
Pennsylvania,1996,2
Pennsylvania,1997,0
Pennsylvania,1998,2
Pennsylvania,1999,1
Pennsylvania,2000,1
Pennsylvania,2001,1
Pennsylvania,2002,1
Pennsylvania,2003,3
Pennsylvania,2004,1
Pennsylvania,2005,3
Pennsylvania,2006,7
Pennsylvania,2007,1
Pennsylvania,2008,1
Pennsylvania,2009,2
Pennsylvania,2010,0
Pennsylvania,2011,0
Pennsylvania,2012,0
Pennsylvania,2013,1
Pennsylvania,2014,3
Pennsylvania,2015,0
Pennsylvania,2016,2
Pennsylvania,2017,2
Pennsylvania,2018,3
Pennsylvania,2019,0
Tennessee,1970,3
Tennessee,1971,0
Tennessee,1972,0
Tennessee,1973,0
Tennessee,1974,1
Tennessee,1975,0
Tennessee,1976,0
Tennessee,1977,1
Tennessee,1978,1
Tennessee,1979,0
Tennessee,1980,0
Tennessee,1981,0
Tennessee,1982,1
Tennessee,1983,1
Tennessee,1984,0
Tennessee,1985,0
Tennessee,1986,1
Tennessee,1987,0
Tennessee,1988,0
Tennessee,1989,0
Tennessee,1990,1
Tennessee,1991,0
Tennessee,1992,0
Tennessee,1993,0
Tennessee,1994,1
Tennessee,1995,2
Tennessee,1996,1
Tennessee,1997,0
Tennessee,1998,1
Tennessee,1999,0
Tennessee,2000,0
Tennessee,2001,0
Tennessee,2002,0
Tennessee,2003,0
Tennessee,2004,1
Tennessee,2005,6
Tennessee,2006,2
Tennessee,2007,3
Tennessee,2008,3
Tennessee,2009,0
Tennessee,2010,2
Tennessee,2011,0
Tennessee,2012,1
Tennessee,2013,2
Tennessee,2014,2
Tennessee,2015,0
Tennessee,2016,0
Tennessee,2017,1
Tennessee,2018,6
Tennessee,2019,1
Texas,1970,1
Texas,1971,2
Texas,1972,3
Texas,1973,0
Texas,1974,0
Texas,1975,1
Texas,1976,1
Texas,1977,2
Texas,1978,2
Texas,1979,2
Texas,1980,3
Texas,1981,1
Texas,1982,0
Texas,1983,4
Texas,1984,4
Texas,1985,5
Texas,1986,1
Texas,1987,3
Texas,1988,5
Texas,1989,4
Texas,1990,6
Texas,1991,9
Texas,1992,5
Texas,1993,2
Texas,1994,2
Texas,1995,1
Texas,1996,0
Texas,1997,1
Texas,1998,0
Texas,1999,2
Texas,2000,1
Texas,2001,4
Texas,2002,3
Texas,2003,2
Texas,2004,3
Texas,2005,4
Texas,2006,6
Texas,2007,6
Texas,2008,1
Texas,2009,1
Texas,2010,0
Texas,2011,3
Texas,2012,3
Texas,2013,2
Texas,2014,0
Texas,2015,8
Texas,2016,4
Texas,2017,3
Texas,2018,6
Texas,2019,1
Washington,1970,0
Washington,1971,0
Washington,1972,0
Washington,1973,0
Washington,1974,0
Washington,1975,0
Washington,1976,0
Washington,1977,0
Washington,1978,0
Washington,1979,0
Washington,1980,0
Washington,1981,0
Washington,1982,0
Washington,1983,0
Washington,1984,0
Washington,1985,1
Washington,1986,0
Washington,1987,0
Washington,1988,0
Washington,1989,0
Washington,1990,0
Washington,1991,0
Washington,1992,0
Washington,1993,2
Washington,1994,3
Washington,1995,1
Washington,1996,1
Washington,1997,0
Washington,1998,1
Washington,1999,0
Washington,2000,1
Washington,2001,2
Washington,2002,1
Washington,2003,1
Washington,2004,2
Washington,2005,0
Washington,2006,0
Washington,2007,1
Washington,2008,2
Washington,2009,0
Washington,2010,1
Washington,2011,1
Washington,2012,1
Washington,2013,0
Washington,2014,2
Washington,2015,1
Washington,2016,0
Washington,2017,2
Washington,2018,5
Washington,2019,0